001178623858500000,0823496319,0344824999,1503,Data,41276,BTS-001
001178623858500001,0913983529,0781323385,114,Call,542,BTS-001
001178623858500002,0387340384,0859999291,0,SMS,350,BTS-001
001178623858500003,0703305270,0856408322,784,Call,2781,BTS-001
001178623858500004,0761277117,0706402378,217,Call,1010,BTS-001
001178623858500005,0334336292,0819656866,420,Call,1897,BTS-001
001178623858500006,0944484739,0813054150,974,Call,2456,BTS-001
001178623858500007,0819674870,0900785135,1306,Call,3294,BTS-001
001178623858500008,0765881102,0911344746,791,Call,4723,BTS-001
001178623858500009,0345070785,0908964143,381,Call,2430,BTS-001
001178623858500010,0985744835,0348107214,0,SMS,350,BTS-001
001178623858500011,0700880792,0328194055,1600,Data,67651,BTS-001
001178623858500012,0994185556,0891790331,168,Call,837,BTS-001
001178623858500013,0811998567,0916858467,436,Data,16255,BTS-001
001178623858500014,0352931085,0928602274,1446,Data,80274,BTS-001
001178623858500015,0365562466,0766984162,986,Call,3281,BTS-001
001178623858500016,0815432630,0345143446,617,Data,13684,BTS-001
001178623858500017,0988052177,0914681839,903,Call,4964,BTS-001
001178623858500018,0327248244,0896322494,0,SMS,250,BTS-001
001178623858500019,0894179151,0853497853,0,SMS,500,BTS-001
001178623858500020,0839481343,0324411734,290,Data,13965,BTS-001
001178623858500021,0331338445,0396740589,1261,Data,60647,BTS-001
001178623858500022,0332440916,0918662946,0,SMS,500,BTS-001
001178623858500023,0836812635,0343160923,511,Data,14961,BTS-001
001178623858500024,0815744724,0986638472,1614,Call,5819,BTS-001
001178623858500025,0793040127,0934073726,1725,Call,10769,BTS-001
001178623858500026,0921670829,0932924048,1359,Data,73321,BTS-001
001178623858500027,0918227338,0981262714,1217,Call,3214,BTS-001
001178623858500028,0985293759,0838772592,0,SMS,500,BTS-001
001178623858500029,0929630180,0918908080,368,Call,1368,BTS-001
001178623858500030,0765614770,0783419085,1110,Data,63051,BTS-001
001178623858500031,0880512446,0708528889,1114,Call,5058,BTS-001
001178623858500032,0795524957,0351732851,1281,Data,55011,BTS-001
001178623858500033,0936681245,0365696430,922,Call,4199,BTS-001
001178623858500034,0924497952,0887076240,1191,Call,5338,BTS-001
001178623858500035,0386594888,0705259458,0,SMS,500,BTS-001
001178623858500036,0919942946,0919122251,865,Call,5298,BTS-001
001178623858500037,0391381391,0781452563,404,Call,2206,BTS-001
001178623858500038,0811901910,0385108718,579,Call,3324,BTS-001
001178623858500039,0337805733,0381846069,0,SMS,500,BTS-001
001178623858500040,0941128496,0337462853,688,Call,2790,BTS-001
001178623858500041,0943444770,0378263595,269,Call,1672,BTS-001
001178623858500042,0700605720,0832869943,232,Call,1032,BTS-001
001178623858500043,0384351899,0784795915,156,Data,8018,BTS-001
001178623858500044,0760653738,0919791432,0,SMS,500,BTS-001
001178623858500045,0947592892,0888326407,379,Data,15367,BTS-001
001178623858500046,0909724762,0898027469,201,Call,764,BTS-001
001178623858500047,0894761018,0853286502,1494,Data,57973,BTS-001
001178623858500048,0966126419,0768864699,1509,Call,6050,BTS-001
001178623858500049,0774173041,0369606920,0,SMS,250,BTS-001
001178623858500050,0795632011,0911644290,1010,Call,3701,BTS-001
001178623858500051,0985859622,0918588044,1219,Call,5343,BTS-001
001178623858500052,0961930537,0846359649,0,SMS,500,BTS-001
001178623858500053,0365588227,0844848212,0,SMS,500,BTS-001
001178623858500054,0370848151,0828392299,1353,Data,49229,BTS-001
001178623858500055,0320217429,0320797079,1113,Call,5024,BTS-001
001178623858500056,0848760411,0901709902,1565,Call,5295,BTS-001
001178623858500057,0903198260,0330939293,1359,Data,59084,BTS-001
001178623858500058,0944056753,0334764147,891,Call,3008,BTS-001
001178623858500059,0839655581,0791423757,0,SMS,350,BTS-001
001178623858500060,0811047062,0969331891,831,Call,2142,BTS-001
001178623858500061,0980649004,0933675048,912,Call,5602,BTS-001
001178623858500062,0786961398,0346078038,1741,Call,8144,BTS-001
001178623858500063,0797634259,0707184976,1438,Call,8381,BTS-001
001178623858500064,0883109641,0827634948,1398,Call,5779,BTS-001
001178623858500065,0811910372,0818015964,113,Data,5511,BTS-001
001178623858500066,0921007088,0969865403,477,Data,11851,BTS-001
001178623858500067,0988595281,0765721422,95,Call,500,BTS-001
001178623858500068,0704324613,0348279196,0,SMS,350,BTS-001
001178623858500069,0883569690,0983659122,1115,Call,5011,BTS-001
001178623858500070,0321705873,0883968614,557,Call,2245,BTS-001
001178623858500071,0810085988,0818965888,644,Call,3937,BTS-001
001178623858500072,0962727687,0334203547,851,Call,4235,BTS-001
001178623858500073,0356130273,0786534673,1156,Call,5827,BTS-001
001178623858500074,0794314238,0835453657,39,Call,179,BTS-001
001178623858500075,0328011921,0322954011,1064,Call,4838,BTS-001
001178623858500076,0382830872,0936001660,349,Call,2102,BTS-001
001178623858500077,0934846153,0886268581,703,Call,4371,BTS-001
