003178623858500000,0788383680,0847949569,1605,Call,8638,BTS-003
003178623858500001,0943051875,0345188031,0,SMS,250,BTS-003
003178623858500002,0777308050,0971601201,1616,Data,39331,BTS-003
003178623858500003,0787899758,0320385532,1713,Call,10727,BTS-003
003178623858500004,0332673495,0395542249,1590,Call,10111,BTS-003
003178623858500005,0784724785,0997561542,434,Call,1304,BTS-003
003178623858500006,0941567100,0970431167,1698,Call,11308,BTS-003
003178623858500007,0769433040,0980336901,0,SMS,250,BTS-003
003178623858500008,0973387751,0848761678,1365,Data,42762,BTS-003
003178623858500009,0982278541,0377827563,1283,Call,7867,BTS-003
003178623858500010,0703257910,0360713940,1165,Data,40823,BTS-003
003178623858500011,0799154582,0946485169,38,Call,113,BTS-003
003178623858500012,0936832026,0781709290,468,Call,1736,BTS-003
003178623858500013,0343291271,0847964754,309,Data,11394,BTS-003
003178623858500014,0825866270,0332560051,13,Call,54,BTS-003
003178623858500015,0881316614,0921040115,558,Call,2181,BTS-003
003178623858500016,0335297996,0986785860,0,SMS,250,BTS-003
003178623858500017,0943985650,0792443251,1230,Data,70301,BTS-003
003178623858500018,0322531229,0998312212,0,SMS,500,BTS-003
003178623858500019,0913100822,0340856348,1758,Call,8357,BTS-003
003178623858500020,0944839911,0832948062,129,Call,341,BTS-003
003178623858500021,0793995637,0700893657,594,Call,3225,BTS-003
003178623858500022,0392407938,0343224869,900,Call,5478,BTS-003
003178623858500023,0816111084,0348141559,1129,Call,3592,BTS-003
003178623858500024,0919514157,0335157604,465,Call,2881,BTS-003
003178623858500025,0367027932,0775927603,19,Call,55,BTS-003
003178623858500026,0989290544,0967027354,269,Call,989,BTS-003
003178623858500027,0988546619,0968444487,290,Call,1048,BTS-003
003178623858500028,0831324086,0773520645,1721,Call,8512,BTS-003
003178623858500029,0361160610,0935951490,617,Call,3739,BTS-003
003178623858500030,0845834488,0393989490,0,SMS,500,BTS-003
003178623858500031,0819180147,0784143423,347,Call,2148,BTS-003
003178623858500032,0820474632,0786924838,174,Call,455,BTS-003
003178623858500033,0924723859,0709593309,600,Data,29179,BTS-003
003178623858500034,0832628901,0921884549,1039,Data,23008,BTS-003
003178623858500035,0703639502,0943488949,0,SMS,350,BTS-003
003178623858500036,0765471845,0834676451,1417,Call,7550,BTS-003
003178623858500037,0817721452,0920987591,1260,Call,3642,BTS-003
003178623858500038,0833490050,0363643814,1511,Call,9954,BTS-003
003178623858500039,0371486315,0893889735,83,Call,342,BTS-003
003178623858500040,0965864720,0354333031,1537,Data,85137,BTS-003
